trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-166.81862219923565,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-32.13558798602686,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-140.90269467648577,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",35,5,-139.38443179090632,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-92.02519472466061,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-184.3397707547844,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-97.17842681930873,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-139.3062826073023,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",30,0,-226.13063838857337,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,3,-109.20191362383498,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,17,3.0163061585298054,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-63.86337629144547,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,8,-99.949645991101,"{0: 4, 1: 3, 2: 3, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-10.54163942951738,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-94.94973877300457,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",35,0,-94.98857789215901,"{0: 26, 1: 1, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-61.11028332091567,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-66.61805467019505,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
