trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-784.1790134007026,"{0: 69, 1: 14, 2: 21, 3: 2, 4: 14}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-45,-300.75991592390807,"{0: 38, 1: 7, 2: 16, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,-43,-278.28771081781036,"{0: 40, 1: 12, 2: 18, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,-100,-757.7333446646446,"{0: 82, 1: 15, 2: 24, 3: 0, 4: 14}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-67,-358.9386073919852,"{0: 65, 1: 7, 2: 18, 3: 2, 4: 5}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,13,-62.73223165170046,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,-100,-720.837897578984,"{0: 68, 1: 11, 2: 28, 3: 2, 4: 11}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-100,-621.1310219120834,"{0: 74, 1: 13, 2: 20, 3: 3, 4: 10}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,-92,-613.053864168735,"{0: 68, 1: 16, 2: 23, 3: 0, 4: 10}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-63,-377.8818066468376,"{0: 53, 1: 11, 2: 18, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-15,-98.62134228680007,"{0: 20, 1: 7, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,2,-48.227421648844555,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,-32,-247.9216157486553,"{0: 27, 1: 10, 2: 11, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,-4,-114.84809816583333,"{0: 20, 1: 4, 2: 9, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,-100,-562.4299148632542,"{0: 78, 1: 18, 2: 24, 3: 3, 4: 7}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,-50,-358.82145160251065,"{0: 49, 1: 11, 2: 19, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,-12,-153.85766846753248,"{0: 25, 1: 5, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-86,-471.70167903970116,"{0: 67, 1: 9, 2: 21, 3: 2, 4: 7}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-12,-107.08205827885132,"{0: 20, 1: 3, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,5,-102.3800156316392,"{0: 7, 1: 5, 2: 1, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,-71,-375.810076438881,"{0: 56, 1: 11, 2: 18, 3: 1, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-15,-225.7038513587582,"{0: 24, 1: 5, 2: 7, 3: 0, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,2,-103.89696033065525,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,-39,-313.23110969488977,"{0: 37, 1: 3, 2: 14, 3: 0, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-100,-572.1628377608054,"{0: 74, 1: 12, 2: 31, 3: 1, 4: 7}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,2,-97.09125611745722,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,-100,-607.7084984203302,"{0: 71, 1: 11, 2: 35, 3: 1, 4: 7}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,-16,-241.76818083080065,"{0: 22, 1: 5, 2: 17, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,-100,-568.4425299652004,"{0: 78, 1: 11, 2: 23, 3: 6, 4: 7}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-26,-272.6240308450854,"{0: 27, 1: 5, 2: 9, 3: 0, 4: 5}",0
